SampleID,Date,Months,Years,Site,Period,bloom2,Total_Phosphorus_ug,Total_Nitrogen_mg,Temperature_Water_Celsius,Dissolved_P,Dissolved_N,Cumulative_precipitation_t1_t7_mm,Mean_temperature_t0_t7,Microcystin_ug_L
FLD0194_30_05_2006_2b,2006-5-30,May,2006,NA,Spring,NA,NA,NA,NA,NA,NA,0.525,16.6875,NA
FLD0195_13_06_2006_1c,2006-6-13,June,2006,Pelagic,Spring,no,51.958527,1413.005,20.2,34.5288295,1.2993945,10.475,14.8,0.0033
FLD0196_13_06_2006_2c,2006-6-13,June,2006,Littoral,Spring,no,58.42204,1597.079,22.9,37.796898,1.4146905,10.475,14.8,0.0012
FLD0197_27_06_2006_1,2006-6-27,June,2006,Pelagic,Summer,no,32.4227405,1021.058,22.5,11.3618565,0.9155875,3.5,19.275,NA
FLD0198_27_06_2006_2,2006-6-27,June,2006,Littoral,Summer,no,39.6124915,1133.5565,22.6,13.75844,1.025423,3.5,19.275,NA
FLD0199_12_07_2006_1b,2006-7-12,July,2006,Pelagic,Summer,no,76.1119705,890.2395,24.7,23.3830935,0.7574795,0.975,20.6625,0.138
FLD0200_12_07_2006_2b,2006-7-12,July,2006,Littoral,Summer,no,51.8749095,924.632,25.8,21.357441,0.802102,0.975,20.6625,0.16
FLD0201_25_07_2006_1,2006-7-25,July,2006,Pelagic,Summer,no,NA,NA,NA,NA,NA,2.375,20.9125,NA
FLD0202_02_08_2006_1b,2006-8-02,August,2006,Pelagic,Summer,yes,80.09251,960.016,26.9,45.5060465,0.636552,11.125,23.425,0.477
FLD0203_02_08_2006_2b,2006-8-02,August,2006,Littoral,Summer,yes,121.2247495,1425.8495,27.8,28.699325,0.556977,11.125,23.425,1.88
FLD0212_15_08_2006_1a,2006-8-15,August,2006,Pelagic,Summer,yes,NA,NA,NA,NA,NA,0.35,16.6,NA
FLD0205_15_08_2006_2a,2006-8-15,August,2006,Littoral,Summer,yes,163.5069225,1455.846,22.2,32.149126,0.5180285,0.35,16.6,4.28
FLD0206_22_08_2006_1,2006-8-22,August,2006,Pelagic,Summer,no,97.0761445,973.1345,22.1,34.095167,0.6318595,2.6,19.5375,NA
FLD0207_22_08_2006_2,2006-8-22,August,2006,Littoral,Summer,no,97.2530575,843.246,22.9,40.9947685,-0.0495495,2.6,19.5375,NA
FLD0208_05_09_2006_1,2006-9-05,September,2006,Pelagic,Summer,no,46.806232,733.574,20.3,20.0555125,0.4684645,2.025,15.625,NA
FLD0209_05_09_2006_2,2006-9-05,September,2006,Littoral,Summer,no,69.370499,736.7605,21.5,23.3904825,0.4477295,2.025,15.625,NA
FLD0210_12_09_2006_1a,2006-9-12,September,2006,Pelagic,Summer,yes,54.114784,632.9985,18.9,17.3591535,0.3130345,0.55,14.55,2.74
FLD0211_12_09_2006_2b,2006-9-12,September,2006,Littoral,Summer,yes,54.540525,610.5105,19.2,14.520881,0.303932,0.55,14.55,2.36
FLD0204_26_09_2006_1b,2006-9-26,September,2006,Pelagic,Fall,no,NA,NA,NA,NA,NA,2.275,13.05,NA
FLD0213_26_09_2006_2a,2006-9-26,September,2006,NA,Fall,NA,NA,NA,NA,NA,NA,2.275,13.05,NA
FLD0214_10_10_2006_1,2006-10-10,October,2006,Pelagic,Fall,no,NA,NA,NA,NA,NA,2.2,10.1625,NA
FLD0215_16_10_2006_1b,2006-10-16,October,2006,NA,Fall,NA,NA,NA,NA,NA,NA,1.95,8.9,NA
FLD0216_16_10_2006_2b,2006-10-16,October,2006,Littoral,Fall,no,96.830787,773.2315,9.5,42.0521255,0.542282,1.95,8.9,NA
FLD0217_09_05_2007_1,2007-5-09,May,2007,Littoral,Spring,no,77.135,767.25,15.06,29.665,0.59905,NA,11.425,NA
FLD0218_09_05_2007_2,2007-5-09,May,2007,Pelagic,Spring,no,58.56,789.05,13.5,11.285,0.65675,NA,11.425,NA
FLD0235_02_06_2007,2007-6-02,June,2007,NA,Spring,NA,NA,NA,NA,NA,NA,5.25,16.2,NA
FLD0219_06_07_2007_1,2007-7-06,July,2007,Littoral,Summer,no,63.375,1025.3,22,32.355,0.4888,NA,16.15,0.0023
FLD0220_06_07_2007_2,2007-7-06,July,2007,Pelagic,Summer,no,36.52,601.15,20.96,17.44,0.4489,NA,16.15,NA
FLD0221_02_08_2007_1,2007-8-02,August,2007,Littoral,Summer,no,46.655,580.8,28.2,21.805,0.35985,0.35,22.25,0.0072
FLD0222_02_08_2007_2,2007-8-02,August,2007,Pelagic,Summer,no,43.88,577.3,26.04,18.34,0.4217,0.35,22.25,0.0028
FLD0223_22_08_2007_1,2007-8-22,August,2007,Littoral,Summer,no,66.915,552.75,19.92,27.085,0.3932,2.775,15.05,0.00217
FLD0224_22_08_2007_2,2007-8-22,August,2007,Pelagic,Summer,no,49.495,458.25,20.61,25.49,0.3647,2.775,15.05,0.0033
FLD0225_05_09_2007_1,2007-9-05,September,2007,Littoral,Summer,no,55.12,490,20.3,29.305,0.3454,1.15,16.0375,0.00044
FLD0226_05_09_2007_2,2007-9-05,September,2007,Pelagic,Summer,no,50.885,472.85,20.2,23.13,0.31455,1.15,16.0375,0.002
FLD0227_19_09_2007_1,2007-9-19,September,2007,Littoral,Fall,no,76.84,522.05,18,25.21,0.3459,2.325,12.7625,0.000594
FLD0228_19_09_2007_2,2007-9-19,September,2007,Pelagic,Fall,no,92.47,527.3,17.44,21.16,0.32775,2.325,12.7625,6.00E-04
FLD0229_26_09_2007_1,2007-9-26,September,2007,Littoral,Fall,no,56.78,479.5,19,18.615,0.34995,0,18.075,0.000646
FLD0230_26_09_2007_2,2007-9-26,September,2007,Pelagic,Fall,no,44.155,474.15,19,21.255,0.35705,0,18.075,5.00E-04
FLD0231_10_10_2007_1,2007-10-10,October,2007,Littoral,Fall,no,59.2,471.1,16.12,25.39,0.3128,3.775,13.2,0.000412
FLD0232_22_05_2008_1,2008-5-22,May,2008,Littoral,Spring,no,128.82,527,NA,NA,NA,6.675,10.4875,NA
FLD0233_01_06_2008_1,2008-6-01,June,2008,Littoral,Spring,no,NA,NA,NA,NA,NA,6.075,13.425,NA
FLD0234_01_06_2008,2008-6-01,June,2008,Pelagic,Spring,no,NA,NA,NA,NA,NA,6.075,13.425,NA
FLD0236_25_06_2008_a,2008-6-25,June,2008,Littoral,Summer,no,52.13,1470,NA,NA,NA,3.325,16.5375,NA
FLD0237_25_06_2008_b,2008-6-25,June,2008,Pelagic,Summer,no,35.27,910,NA,NA,NA,3.325,16.5375,NA
FLD0238_02_07_2008,2008-7-02,July,2008,Pelagic,Summer,no,23.258,850,NA,NA,NA,2.725,20.425,NA
FLD0239_15_07_2008_1,2008-7-15,July,2008,Littoral,Summer,no,81.93,795,24.47,NA,NA,3.425,20.2125,NA
FLD0240_15_07_2008_2,2008-7-15,July,2008,Pelagic,Summer,no,69.43,541,23.28,NA,NA,3.425,20.2125,NA
FLD0241_04_08_2008_4b,2008-8-04,August,2008,Pelagic,Summer,yes,110.507,1670,NA,47.295,0.654,NA,20.225,NA
FLD0242_04_08_2008_2b,2008-8-04,August,2008,Littoral,Summer,yes,190.69,1130,NA,146.77,0.5,NA,20.225,6390
FLD0243_18_08_2008_4d,2008-8-18,August,2008,Pelagic,Summer,yes,268.72,720,NA,22.66,0.69,2.625,18.2125,NA
FLD0244_24_08_2008_2,2008-8-24,August,2008,NA,Summer,NA,NA,NA,NA,NA,NA,3.475,18.65,NA
FLD0245_29_08_2008_1,2008-8-29,August,2008,Littoral,Summer,no,NA,NA,NA,NA,NA,0.625,18.6,NA
FLD0246_29_08_2008_2,2008-8-29,August,2008,Pelagic,Summer,no,NA,NA,NA,NA,NA,0.625,18.6,NA
FLD0248_03_09_2008_2b,2008-9-03,September,2008,Littoral,Summer,no,47.64,560,NA,17.28,0.38,0.025,18.7875,16
FLD0247_08_09_2008_3d,2008-9-08,September,2008,NA,Summer,NA,NA,NA,NA,NA,NA,0.525,19.4375,NA
FLD0249_17_09_2008_1d,2008-9-17,September,2008,Littoral,Fall,no,80.4,NA,19.45,32.82,NA,2.4,15.425,NA
FLD0250_17_09_2008_3b,2008-9-17,September,2008,Pelagic,Fall,no,71.16,720,18.16,30.59,0.539,2.4,15.425,0.4
FLD0251_07_10_2008_5b,2008-10-07,October,2008,Pelagic,Fall,no,NA,440,NA,NA,0.32,1.925,8.65,0.3
FLD0252_07_10_2008_6b,2008-10-07,October,2008,Pelagic,Fall,no,NA,440,NA,NA,0.32,1.925,8.65,NA
FLD0253_27_10_2008_1,2008-10-27,October,2008,Littoral,Fall,no,37.975,NA,NA,31.44,NA,5.325,6.15,NA
FLD0254_27_10_2008_2,2008-10-27,October,2008,Pelagic,Fall,no,46.115,NA,NA,27.033,NA,5.325,6.15,NA
FLD0255_20_05_2009_1,2009-5-20,May,2009,Littoral,Spring,no,63.091,953,15,43.944,0.821,2.95,11.9,NA
FLD0256_20_05_2009_2,2009-5-20,May,2009,Pelagic,Spring,no,64.177,787,14,59.02,0.639,2.95,11.9,NA
FLD0257_17_06_2009_1,2009-6-17,June,2009,NA,Summer,NA,NA,NA,NA,NA,NA,2.2,17.5625,NA
FLD0258_17_06_2009_2,2009-6-17,June,2009,NA,Summer,NA,NA,NA,NA,NA,NA,2.2,17.5625,NA
FLD0259_08_07_2009_1,2009-7-08,July,2009,Littoral,Summer,no,56.65,NA,NA,NA,NA,NA,17.675,NA
FLD0260_08_07_2009_2,2009-7-08,July,2009,Pelagic,Summer,yes,58.26,NA,NA,29.85,NA,NA,17.675,NA
FLD0261_12_07_2009_1b,2009-7-12,July,2009,Littoral,Summer,no,NA,924,22.3,NA,0.664,NA,17.2125,NA
FLD0262_12_07_2009_2b,2009-7-12,July,2009,Pelagic,Summer,no,NA,NA,22,5.412,0.601,NA,17.2125,1.7
FLD0263_25_07_2009_b,2009-7-25,July,2009,Littoral,Summer,yes,64.006,719,NA,29.563,0.488,2.2,19.5625,NA
FLD0264_25_07_2009_p2,2009-7-25,July,2009,Pelagic,Summer,yes,NA,NA,NA,9.377,0.781,2.2,19.5625,124
FLD0265_29_07_2009_1,2009-7-29,July,2009,NA,Summer,NA,NA,NA,NA,NA,NA,5,21.575,NA
FLD0266_08_08_2009_p2,2009-8-08,August,2009,Pelagic,Summer,no,NA,NA,24.05,9.436,0.376,3.975,18.9,0.623
FLD0267_22_08_2009_1,2009-8-22,August,2009,Littoral,Summer,no,NA,NA,26.5,NA,NA,2.425,22.95,NA
FLD0268_22_08_2009_p1,2009-8-22,August,2009,Pelagic,Summer,no,NA,NA,25.79,NA,NA,2.425,22.95,NA
FLD0269_02_09_2009_1,2009-9-02,September,2009,Littoral,Summer,no,58.47,NA,NA,NA,NA,2.375,14.475,0.06
FLD0270_02_09_2009_2,2009-9-02,September,2009,Pelagic,Summer,no,58.68,NA,NA,NA,NA,2.375,14.475,0.135
FLD0271_16_09_2009_1,2009-9-16,September,2009,Littoral,Fall,yes,NA,NA,NA,NA,NA,0.7,14.9,NA
FLD0272_16_09_2009_2,2009-9-16,September,2009,Pelagic,Fall,yes,NA,NA,NA,NA,NA,0.7,14.9,NA
FLD0273_23_09_2009_1,2009-9-23,September,2009,Littoral,Fall,no,38.51,NA,NA,18.39,NA,3.05,13.625,0.0507
FLD0274_23_09_2009_2,2009-9-23,September,2009,Pelagic,Fall,no,44.94,NA,17.45,23.59,NA,3.05,13.625,0.0214
FLD0275_15_10_2009_1,2009-10-15,October,2009,Littoral,Fall,no,33.98,NA,NA,NA,NA,1.75,5.025,1.00E-04
FLD0276_15_10_2009_p2,2009-10-15,October,2009,Pelagic,Fall,no,38.86,NA,NA,NA,NA,1.75,5.025,NA
FLD0277_05_05_2010_1,2010-5-05,May,2010,Littoral,Spring,no,NA,836,15.6,NA,0.59,5.275,12.45,NA
FLD0278_05_05_2010_2,2010-5-05,May,2010,Pelagic,Spring,no,NA,742,13.4,NA,0.596,5.275,12.45,NA
FLD0279_16_06_2010_1,2010-6-16,June,2010,Littoral,Summer,no,NA,408,18.6,NA,0.471,2.15,14.6625,NA
FLD0280_16_06_2010_2,2010-6-16,June,2010,Pelagic,Summer,no,NA,256,18.7,NA,0.362,2.15,14.6625,NA
FLD0281_05_07_2010_1,2010-7-05,July,2010,Littoral,Summer,no,NA,447,NA,NA,0.382,2.275,19.575,0.38
FLD0282_12_07_2010_1,2010-7-12,July,2010,Littoral,Summer,no,19.701,439,28.6,9.413,0.3,3.725,25.2375,0.993
FLD0283_12_07_2010_2,2010-7-12,July,2010,Pelagic,Summer,no,27.861,316,27.4,13.366,0.279,3.725,25.2375,0.06
FLD0284_26_07_2010_1,2010-7-26,July,2010,Littoral,Summer,yes,111.861,1180,24.2,28.972,0.489,3.825,20.35,2300
FLD0285_10_08_2010_1,2010-8-10,August,2010,Littoral,Summer,yes,NA,NA,24.64,NA,NA,12.9,19.9625,0.153
FLD0286_10_08_2010_2,2010-8-10,August,2010,Pelagic,Summer,no,NA,NA,22.9,NA,NA,12.9,19.9625,0.516
FLD0289_22_08_2010_1,2010-8-22,August,2010,Littoral,Summer,yes,NA,748,NA,NA,0.401,NA,NA,0.378
FLD0290_16_09_2010_1,2010-9-16,September,2010,Littoral,Fall,no,43.482,445,16.42,2.211,0.388,4.675,13.725,0.02
FLD0291_16_09_2010_2,2010-9-16,September,2010,Pelagic,Fall,no,50.83,420,16.2,26.108,0.306,4.675,13.725,0.06
FLD0292_19_10_2010_1,2010-10-19,October,2010,Littoral,Fall,no,NA,1148,8.98,NA,0.976,6.95,6.4375,NA
FLD0293_19_10_2010_2,2010-10-19,October,2010,Pelagic,Fall,no,NA,1054,8.5,NA,0.938,6.95,6.4375,0.01
FLD0294_15_05_2011_1,2011-5-15,May,2011,Littoral,Spring,no,64.338,655,9,36.815,0.575,5.55,13.05,NA
FLD0295_15_05_2011_1,2011-5-15,May,2011,NA,Spring,NA,NA,NA,NA,NA,NA,5.55,13.05,NA
FLD0297_21_06_2011_1,2011-6-21,June,2011,Littoral,Summer,no,37.607,955,24,18.149,0.526,0.525,17.95,0.0904
FLD0298_21_06_2011_2,2011-6-21,June,2011,Pelagic,Summer,no,19.743,723,22.5,3.472,0.53,0.525,17.95,0.178
FLD0299_05_07_2011_1,2011-7-05,July,2011,Littoral,Summer,no,16.954,583,25.37,16.621,0.449,4.975,20.1375,0.17
FLD0300_05_07_2011_2,2011-7-05,July,2011,Pelagic,Summer,no,31.697,600,23.1,15.825,0.46,4.975,20.1375,0.374
FLD0301_19_07_2011_1,2011-7-19,July,2011,Littoral,Summer,no,57.995,838,27.03,39.201,0.533,0.5,20.8,0.81
FLD0302_19_07_2011_2,2011-7-19,July,2011,Pelagic,Summer,no,42.123,681,25.25,14.563,0.462,0.5,20.8,0.71
FLD0303_09_08_2011_1,2011-8-09,August,2011,Littoral,Summer,yes,337.647,8612,27.1,22.798,0.458,2.825,20.5625,8.35
FLD0304_09_08_2011_2,2011-8-09,August,2011,Pelagic,Summer,yes,451.474,13422,26.72,46.44,1.011,2.825,20.5625,18.5
FLD0305_23_08_2011_1,2011-8-23,August,2011,Littoral,Summer,no,211.889,867,22.2,39.883,0.441,6.95,19.1875,1.82
FLD0306_23_08_2011_2,2011-8-23,August,2011,Pelagic,Summer,yes,159.915,923,NA,45.155,0.335,6.95,19.1875,3.63
FLD0307_12_09_2011_1,2011-9-12,September,2011,Littoral,Summer,no,31.164,1271,20.2,11.091,0.957,9.05,16.35,1.1
FLD0308_12_09_2011_2,2011-9-12,September,2011,Pelagic,Summer,no,59.618,1070,NA,26.568,0.716,9.05,16.35,3.25
FLD0309_12_10_2011_1,2011-10-12,October,2011,Littoral,Fall,no,114.903,863,14.8,52.792,0.605,0,11.6625,0.335
FLD0310_12_10_2011_2,2011-10-12,October,2011,Pelagic,Fall,no,183.097,1211,14.2,42.586,0.606,0,11.6625,3.46
FLD0311_24_04_2012_1,2012-4-24,April,2012,Littoral,Spring,no,34.068,567,NA,0.79,0.518,4.425,8.375,NA
FLD0312_07_06_2012_1,2012-6-07,June,2012,Littoral,Spring,no,49.33,892,22.5,34.315,0.727,1.8,14.0375,0.574
FLD0313_07_06_2012_2,2012-6-07,June,2012,Pelagic,Spring,no,42.554,644,NA,28.8,0.586,1.8,14.0375,0.795
FLD0314_20_07_2012_1,2012-7-20,July,2012,Littoral,Summer,no,139.226,1041,25.9,62.419,0.376,4.675,21.0625,8.94
FLD0315_20_07_2012_2,2012-7-20,July,2012,Pelagic,Summer,no,85.94,452,25,56.307,0.285,4.675,21.0625,1.67
FLD0316_14_08_2012_1,2012-8-14,August,2012,Littoral,Summer,yes,100.024,994,25.8,13.976,0.304,4.5,21.8875,4.44
FLD0317_14_08_2012_2,2012-8-14,August,2012,Pelagic,Summer,yes,91.021,622,24.5,14.103,0.25,4.5,21.8875,1.56
FLD0318_17_09_2012_1,2012-9-17,September,2012,Littoral,Fall,no,65.737,545,18.5,36.861,0.344,0.75,14.825,57.9
FLD0319_17_09_2012_2,2012-9-17,September,2012,Pelagic,Fall,no,74.969,635,18,37.416,0.363,0.75,14.825,81.9
FLD0320_17_10_2012_1,2012-10-17,October,2012,Littoral,Fall,no,54.588,830,9.5,34.225,0.763,NA,NA,0.00541
FLD0321_17_10_2012_2,2012-10-17,October,2012,Pelagic,Fall,no,83.618,1129,9.4,35.563,1.081,NA,NA,0.0197
FLD0323_05_06_2013_1,2013-6-05,June,2013,Littoral,Spring,no,48.897,1996,24.1,30.864,1.942,NA,18.7375,0.01
FLD0324_05_06_2013_2,2013-6-05,June,2013,Pelagic,Spring,no,45.035,1506,22.9,31.663,1.504,NA,18.7375,0.07
FLD0325_03_07_2013_1,2013-7-03,July,2013,Littoral,Summer,no,30.088,971,25.7,19.038,0.9,NA,NA,0.13
FLD0326_03_07_2013_2,2013-7-03,July,2013,Pelagic,Summer,no,29.595,1051,26.2,19.53,1.025,NA,NA,0.02
FLD0327_16_08_2013_1,2013-8-16,August,2013,Littoral,Summer,yes,90.795,1166,21,21.579,0.581,4.1,17.1875,0.2
FLD0328_16_08_2013_2,2013-8-16,August,2013,Pelagic,Summer,no,40.149,464,20.5,22.929,0.36,4.1,17.1875,0.05
FLD0329_27_08_2013_1,2013-8-27,August,2013,Littoral,Summer,yes,148.474,1693,23.2,20.866,0.509,1.625,19.075,1.37
FLD0330_17_09_2013_1,2013-9-17,September,2013,Littoral,Fall,yes,194.865,2186,16.8,32.565,0.634,12.05,14.475,11.7
FLD0331_17_09_2013_2,2013-9-17,September,2013,Pelagic,Fall,yes,153.644,1409,17,65.148,0.53,12.05,14.475,7.24
FLD0332_23_10_2013_1,2013-10-23,October,2013,Littoral,Fall,yes,92.716,769,11,38.356,0.454,NA,10.675,0.1
FLD0333_23_10_2013_2,2013-10-23,October,2013,Pelagic,Fall,yes,73.558,537,11.2,45.396,0.443,NA,10.675,0.12
FLD0334_19_03_2015_p1,2015-3-19,March,2015,Pelagic,Spring,NA,NA,NA,NA,NA,NA,1.975,-4.95,NA
FLD0335_19_03_2015_p2,2015-3-19,March,2015,Pelagic,Spring,NA,NA,NA,NA,NA,NA,1.975,-4.95,NA
FLD0336_19_03_2015_L1,2015-3-19,March,2015,Littoral,Spring,NA,NA,NA,NA,NA,NA,1.975,-4.95,NA
FLD0337_19_03_2015_L2,2015-3-19,March,2015,Littoral,Spring,NA,NA,NA,NA,NA,NA,1.975,-4.95,NA
FLD0338_30_06_2015_p1,2015-6-30,June,2015,Pelagic,Summer,NA,NA,NA,NA,NA,NA,2.0625,16.95,NA
FLD0339_30_06_2015_L2,2015-6-30,June,2015,Littoral,Summer,NA,NA,NA,NA,NA,NA,2.0625,16.95,NA
FLD0340_16_07_2015_p1,2015-7-16,July,2015,Pelagic,Summer,NA,NA,NA,NA,NA,NA,1.525,19.2375,NA
FLD0341_16_07_2015_L1,2015-7-16,July,2015,Littoral,Summer,NA,NA,NA,NA,NA,NA,1.525,19.2375,NA
FLD0342_28_07_2015_1,2015-7-28,July,2015,Littoral,Summer,NA,45.8952,1083.530527,26.1,16.2,679,3.3625,20.0625,NA
FLD0344_30_07_2015_1,2015-7-30,July,2015,Littoral,Summer,NA,60.5997,1227.408096,27.1,13.4,528,4.4,21.1625,NA
FLD0347_04_08_2015_1,2015-8-04,August,2015,Littoral,Summer,NA,105.2887,1329.550599,24.4,15,514,2.625,21.1875,NA
FLD0351_10_08_2015_1,2015-8-10,August,2015,Littoral,Summer,NA,74.1733,800.3131152,22.5,45.3,532,0.4875,18.7625,NA
FLD0353_12_08_2015_1,2015-8-12,August,2015,Littoral,Summer,NA,89.9398,873.9822647,22.5,31.9,525,5.3875,18.1875,NA
FLD0355_13_08_2015_1,2015-8-13,August,2015,Littoral,Summer,NA,NA,NA,NA,NA,NA,5.2,18.2125,NA
FLD0356_13_08_2015_2,2015-8-13,August,2015,Pelagic,Summer,NA,NA,NA,NA,NA,NA,5.2,18.2125,NA
FLD0357_03_09_2015_2,2015-9-03,September,2015,Pelagic,Summer,NA,NA,NA,NA,NA,NA,0,19.1875,NA
FLD0358_16_09_2015_1,2015-9-16,September,2015,Littoral,Fall,NA,NA,NA,NA,NA,NA,6.125,18.475,NA
FLD0359_16_09_2015_2,2015-9-16,September,2015,Pelagic,Fall,NA,NA,NA,NA,NA,NA,6.125,18.475,NA
FLD0360_21_10_2015_1,2015-10-21,October,2015,Littoral,Fall,NA,NA,NA,NA,NA,NA,2.2125,4.8375,NA
FLD0361_21_10_2015_2,2015-10-21,October,2015,Littoral,Fall,NA,NA,NA,NA,NA,NA,2.2125,4.8375,NA
FLD0362_19_07_2016,2016-7-19,July,2016,Littoral,Summer,NA,NA,NA,NA,NA,NA,6.0625,21.75,NA
FLD0363_20_07_2016,2016-7-20,July,2016,Littoral,Summer,NA,NA,NA,NA,NA,NA,6.0625,21.225,NA
FLD0364_25_07_2016,2016-7-25,July,2016,Littoral,Summer,NA,NA,NA,NA,NA,NA,11.1375,19.875,NA
FLD0365_27_07_2016,2016-7-27,July,2016,Littoral,Summer,NA,66.9,468,24.7,44.7,349,5.8875,20.625,NA
FLD0366_01_08_2016,2016-8-01,August,2016,Littoral,Summer,NA,NA,NA,NA,NA,NA,0.1375,20.675,NA
FLD0367_09_08_2016,2016-8-09,August,2016,Littoral,Summer,NA,NA,NA,NA,NA,NA,0,21.6875,NA
FLD0368_18_08_2016,2016-8-18,August,2016,Littoral,Summer,NA,166.3,1858,25.4,39.3,593,8.3125,21.45,NA
FLD0369_23_08_2016,2016-8-23,August,2016,Littoral,Summer,NA,125.2,1354,22.3,52.1,622,7.5625,19.725,NA
FLD0370_03_09_2016,2016-9-03,September,2016,Littoral,Summer,NA,NA,NA,NA,NA,NA,4.925,18.15,NA
FLD0371_15_09_2016,2016-9-15,September,2016,Littoral,Fall,NA,1623,14231,22,848.5,8739,4.55,17.6875,NA
FLD0372_22_09_2016,2016-9-22,September,2016,Littoral,Fall,NA,146.7,1852,23,39.9,1001,5.825,17.5875,NA
FLD0373_25_10_2016,2016-10-25,October,2016,Littoral,Fall,NA,NA,NA,NA,NA,NA,13.85,8.175,NA